time	count	humidity	Temperature
927	5	28	36.8
927	6	28	36.8
927	11	28	36.8
927	12	28	36.8
927	16	28	36.8
927	17	27	36.8
927	18	27	36.8
930	5	28	36.8
930	5	28	36.8
930	6	29	36.8
930	7	29	36.8
930	10	29	36.8
930	11	29	36.8
930	12	29	36.8
930	15	29	36.8
930	16	28	36.8
930	17	28	36.8
930	19	28	36.8
930	5	28	36.8
939	5	28	36.8
939	7	28	36.8
939	10	28	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
940	37	52	36.8
