time	count	humidity	Temperature
927	5	28	36.6
927	6	28	36.6
927	11	28	36.6
927	12	28	36.6
927	16	28	36.6
927	17	27	36.6
927	18	27	36.6
930	5	28	36.6
930	5	28	36.6
930	6	29	36.6
930	7	29	36.6
930	10	29	36.6
930	11	29	36.6
930	12	29	36.6
930	15	29	36.6
930	16	28	36.6
930	17	28	36.6
930	19	28	36.6
930	5	28	36.6
939	5	28	36.6
939	7	28	36.6
939	10	28	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
940	37	52	36.6
